Quarry Name ,Stratigraphical zone (Foster),Dinosaur Zone (Turner and Peterson 1999),System Tract (maidment & muxworthy)
Bone Cabin Quarry,Zone 2,2,6
Bone Cabin Quarry,Zone 2,2,6
Bone Cabin Quarry,Zone 2,2,6
Bone Cabin Quarry,Zone 2,2,6
Bone Cabin Quarry,Zone 2,2,6
Bone Cabin Quarry,Zone 2,2,6
Bone Cabin Quarry,Zone 2,2,6
Bone Cabin Quarry,Zone 2,2,6
Bone Cabin Quarry,Zone 2,2,6
Bone Cabin Quarry,Zone 2,2,6
Bone Cabin Quarry,Zone 2,2,6
Bone Cabin Quarry,Zone 2,2,6
Cleveland-Lloyd Quarry,Zone 5,3,4
Cleveland-Lloyd Quarry,Zone 5,3,4
Cleveland-Lloyd Quarry,Zone 5,3,4
Cleveland-Lloyd Quarry,Zone 5,3,4
Cleveland-Lloyd Quarry,Zone 5,3,4
Cleveland-Lloyd Quarry,Zone 5,3,4
Cleveland-Lloyd Quarry,Zone 5,3,4
Cleveland-Lloyd Quarry,Zone 5,3,4
Cleveland-Lloyd Quarry,Zone 5,3,4
Cleveland-Lloyd Quarry,Zone 5,3,4
Cope's Nipple,Zone 6,4,5
Cope's Nipple,Zone 6,4,5
Cope's Nipple,Zone 6,4,5
Cope's Nipple,Zone 6,4,5
Cope's Nipple,Zone 6,4,5
Dinosaur National Monument Quarry,Zone 5,3,4
Dinosaur National Monument Quarry,Zone 5,3,4
Dinosaur National Monument Quarry,Zone 5,3,4
Dinosaur National Monument Quarry,Zone 5,3,4
Dinosaur National Monument Quarry,Zone 5,3,4
Dinosaur National Monument Quarry,Zone 5,3,4
Dinosaur National Monument Quarry,Zone 5,3,4
Dinosaur National Monument Quarry,Zone 5,3,4
Dinosaur National Monument Quarry,Zone 5,3,4
Dinosaur National Monument Quarry,Zone 5,3,4
Dinosaur National Monument Quarry,Zone 5,3,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
Dry Mesa Quarry,Zone 4,2,4
FPA General,Zone 4,na,4
FPA General,Zone 4,na,4
FPA General,Zone 4,na,4
FPA General,Zone 4,na,4
FPA General,Zone 4,na,4
FPA General,Zone 4,na,4
Hanksville-Burpee Quarry,Zone 4,2,4
Hanksville-Burpee Quarry,Zone 4,2,4
Hanksville-Burpee Quarry,Zone 4,2,4
Hanksville-Burpee Quarry,Zone 4,2,4
Hanksville-Burpee Quarry,Zone 4,2,4
Hanksville-Burpee Quarry,Zone 4,2,4
Howe Quarry,Zone 2,2,5
Howe Quarry,Zone 2,2,5
Howe Quarry,Zone 2,2,5
Howe Quarry,Zone 2,2,5
Howe Quarry,Zone 2,2,5
Howe Quarry,Zone 2,2,5
Howe Quarry,Zone 2,2,5
Howe-Stephens Quarry,Zone 2,na,5
Howe-Stephens Quarry,Zone 2,na,5
Howe-Stephens Quarry,Zone 2,na,5
Howe-Stephens Quarry,Zone 2,na,5
Howe-Stephens Quarry,Zone 2,na,5
Howe-Stephens Quarry,Zone 2,na,5
Howe-Stephens Quarry,Zone 2,na,5
Howe-Stephens Quarry,Zone 2,na,5
Howe-Stephens Quarry,Zone 2,na,5
Little Houston Quarry,Zone 2,2,6
Little Houston Quarry,Zone 2,2,6
Little Houston Quarry,Zone 2,2,6
Little Houston Quarry,Zone 2,2,6
Little Houston Quarry,Zone 2,2,6
Little Houston Quarry,Zone 2,2,6
Little Houston Quarry,Zone 2,2,6
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Marsh-Felch Quarry,Zone 3,2,3
Mygatt-Moore Quarry,Zone 4,3,4
Mygatt-Moore Quarry,Zone 4,3,4
Mygatt-Moore Quarry,Zone 4,3,4
Mygatt-Moore Quarry,Zone 4,3,4
Mygatt-Moore Quarry,Zone 4,3,4
Mygatt-Moore Quarry,Zone 4,3,4
Mygatt-Moore Quarry,Zone 4,3,4
Nail Quarry,Zone 4,2,6
Nail Quarry,Zone 4,2,6
Nail Quarry,Zone 4,2,6
Nail Quarry,Zone 4,2,6
Nail Quarry,Zone 4,2,6
Nail Quarry,Zone 4,2,6
Nail Quarry,Zone 4,2,6
Poison Creek Quarry,Zone 2,2,5
Poison Creek Quarry,Zone 2,2,5
Poison Creek Quarry,Zone 2,2,5
Poison Creek Quarry,Zone 2,2,5
Poison Creek Quarry,Zone 2,2,5
Poison Creek Quarry,Zone 2,2,5
Poison Creek Quarry,Zone 2,2,5
Rainbow Park Locality 94,Zone 6,4,5
Rainbow Park Locality 94,Zone 6,4,5
Rainbow Park Locality 94,Zone 6,4,5
Rainbow Park Locality 94,Zone 6,4,5
Rainbow Park Locality 94,Zone 6,4,5
Rainbow Park Locality 94,Zone 6,4,5
Rainbow Park Locality 94,Zone 6,4,5
Rainbow Park Locality 96,Zone 6,4,5
Rainbow Park Locality 96,Zone 6,4,5
Reed's Quarry 12,Zone 5,3,6
Reed's Quarry 12,Zone 5,3,6
Reed's Quarry 12,Zone 5,3,6
Reed's Quarry 12,Zone 5,3,6
Reed's Quarry 12,Zone 5,3,6
Reed's Quarry 12,Zone 5,3,6
Reed's Quarry 13,Zone 2,2,5
Reed's Quarry 13,Zone 2,2,5
Reed's Quarry 13,Zone 2,2,5
Reed's Quarry 13,Zone 2,2,5
Reed's Quarry 13,Zone 2,2,5
Reed's Quarry 13,Zone 2,2,5
Reed's Quarry 13,Zone 2,2,5
Reed's Quarry 8,Zone 4,3,6
Reed's Quarry 8,Zone 4,3,6
Reed's Quarry 8,Zone 4,3,6
Reed's Quarry 8,Zone 4,3,6
Reed's Quarry 8,Zone 4,3,6
Reed's Quarry 9,Zone 5,3,6
Reed's Quarry 9,Zone 5,3,6
Reed's Quarry 9,Zone 5,3,6
Reed's Quarry 9,Zone 5,3,6
Reed's Quarry 9,Zone 5,3,6
Reed's Quarry 9,Zone 5,3,6
Reed's Quarry 9,Zone 5,3,6
Stovall Quarry 1,Zone 5,3,5
Stovall Quarry 1,Zone 5,3,5
Stovall Quarry 1,Zone 5,3,5
Stovall Quarry 1,Zone 5,3,5
Stovall Quarry 1,Zone 5,3,5
Stovall Quarry 1,Zone 5,3,5